,freesound_id,license,name,path,tags,username
61,187613,http://creativecommons.org/licenses/by/3.0/,Laundry_Hatch_Opening_Closing.wav,files/187613_3480943-hq.ogg,"['Machine', 'Door', 'Mechanical', 'Metal', 'Hinge', 'Hatch', 'Close', 'Washer', 'Laundry', 'Open']",bewagne
62,497179,http://creativecommons.org/publicdomain/zero/1.0/,9 - 1 - washing machine - closing the door.wav,files/497179_10801705-hq.ogg,"['close', 'cleaning', 'Panska', 'CZ', 'Czech', 'door']",16FPanskaLelkova_Veronika
63,131357,http://creativecommons.org/publicdomain/zero/1.0/,Washing Machine 2.wav,files/131357_1513948-hq.ogg,"['water', 'drum', 'washing-machine', 'field-recording', 'bass']",kaonaya
64,131364,http://creativecommons.org/publicdomain/zero/1.0/,Washing Machine 1.wav,files/131364_1513948-hq.ogg,"['water', 'drum', 'washing-machine', 'field-recording', 'bass']",kaonaya
65,453049,http://creativecommons.org/licenses/by/3.0/,Car Horn in a Garage,files/453049_9415332-hq.ogg,"['hardfx', 'horns', 'traffic', 'street', 'garage', 'beep', 'horn', 'honk', 'hard-fx', 'cars', 'car', 'parking-garage', 'field-recording', 'noise', 'city']",akelley6
66,436588,http://creativecommons.org/publicdomain/zero/1.0/,JM_TRANSPORT_EXT_Horn 01b - Car_2x_Mini Countryman.wav,files/436588_1535323-hq.ogg,"['Transport', 'Klaxon', 'Vehicle', 'Horn', 'Car', 'Mini']",Julien Matthey
67,21687,http://creativecommons.org/licenses/sampling+/1.0/,horn.mp3,files/21687_114286-hq.ogg,"['akuka', 'car', 'horn', 'mexicano', 'monster', 'racha', 'truck', 'usa']",gbling
68,337956,http://creativecommons.org/licenses/by-nc/3.0/,77CarHorn.wav,files/337956_5997821-hq.ogg,"['simple', 'Car', 'c', 'Horn']",fschaeffer
69,385282,http://creativecommons.org/publicdomain/zero/1.0/,Horn_Doppler_FarAway_01.wav,files/385282_6394480-hq.ogg,"['horn', 'honk', 'traffic', 'toot', 'car']",Mullumbimby
70,393179,http://creativecommons.org/licenses/by-nc/3.0/,18-Pito Carro-consolidated.wav,files/393179_7067533-hq.ogg,"['horn', 'strong', 'car']",DSA98
71,394655,http://creativecommons.org/publicdomain/zero/1.0/,Beep Beep.mp3,files/394655_7414526-hq.ogg,"['horn', 'car', 'beep']",DigPro120
72,391870,http://creativecommons.org/licenses/by-nc/3.0/,Looped version of inchadney's 1970's UK public phonebox ring.flac,files/391870_1015240-hq.ogg,"['inchadney', 'phone', 'loop', 'public', 'alert', 'ring', '1970s', 'UK', 'retro', 'Britain', 'Phone', 'phonebox', 'ringtone', 'telephone', 'mobile', 'convenience', 'urine', '1977', 'loopable', '391215', 'remix']",Timbre
73,383439,http://creativecommons.org/publicdomain/zero/1.0/,Phone Ringing.wav,files/383439_5387145-hq.ogg,"['ring', 'call', 'phone', 'cell', 'telephone', 'mobile', 'ringing']",Ferrettomato
74,256127,http://creativecommons.org/licenses/by/3.0/,Cell phone vibration - alternating pulses,files/256127_2843367-hq.ogg,"['vibration', 'mobile', 'vibrating', 'vibrate', 'Cell', 'phone', 'ringing', 'telephone', 'ring']",MrAuralization
75,119165,http://creativecommons.org/licenses/by-nc/3.0/,stereotypical mobile phone ring.flac,files/119165_1015240-hq.ogg,"['stereotypical', 'retro', 'cellphone', 'alert', 'cell', 'cellular', 'electronic', 'loop', 'loopable', 'mobile', 'phone', 'ring', 'ringer', 'telephone']",Timbre
76,447548,http://creativecommons.org/licenses/by-nc/3.0/,"hotel, phone ringing with second phone ringing nearby.mp3",files/447548_9273322-hq.ogg,"['ring', 'landline', 'phone', 'telephone', 'mobile', 'ringing']",PhantomCreations
